latitude,longitude,serial number,COMUNE
45.666486,8.795239,IT*EMO*E2079*3,Gallarate
45.735589,8.987483,IT*ENX*E20XP22T3KK4AL00324*1,Appiano Gentile
45.665129,8.628487,IT*BEC*EE002634*1,Varallo Pombia
45.600961,9.079393,IT*A2A*EI2227000325*2,Cesate
45.629567,9.042602,IT*BEC*EE000219*2,Saronno
45.610151,8.875577,IT*BEC*EE000007*1,Busto Arsizio
45.610151,8.875577,IT*BEC*EE000007*2,Busto Arsizio
45.612308,8.896139,IT*ENX*E18XP22T3BB5U000413*1,Castellanza
45.709963,8.901614,IT*BEC*EE002331*1,Tradate
45.672363,8.616921,IT*BEC*EE002637*2,Varallo Pombia
45.544068,8.975709,IT*BEC*EH001676*1,Nerviano
45.794398,8.801786,IT*A2C*E12248019070018*1,Varese
45.60458,8.84596,IT*ENX*E18XP22T5AB5U000109*1,Busto Arsizio
45.903231,8.905608,IT*BEC*EE005884*1,Porto Ceresio
45.637377,8.900325,IT*ENX*E19XP22T3KK1AT00089*2,Gorla Minore
45.610869,8.902841,IT*ENX*E18XP22T3KK1AG00025*2,Castellanza
45.592902,8.647242,IT*ENX*E20XM32T7KK3AR00059*1,Oleggio
45.734581,8.748461,IT*ENX*ESN2312240074*2,Mornago
45.710881,8.907195,IT*BEC*EE002333*1,Tradate
45.572187,8.644793,IT*ENX*E19XP22T3KK1AT00037*1,Bellinzago Novarese
45.572187,8.644793,IT*ENX*E19XP22T3KK1AT00037*2,Bellinzago Novarese
45.61311,9.00733,IT*BEC*EH001857*2,Uboldo
45.588842,8.922981,IT*ENX*E22BZ2214A*3,Legnano
45.554654,8.969508,IT*ENX*E22BZ4050A*1,Nerviano
45.637377,8.900325,IT*ENX*E19XP22T3KK1AT00089*1,Gorla Minore
45.808685,8.844611,IT*ENX*E19XP22T3KK4AH00331*2,Varese
45.669956,8.870294,IT*ENX*E20XP22T3KK1AL00023*1,Fagnano Olona
46.040504,8.740764,IT*ENX*E20XP22T3KK1AL00751*1,Maccagno con Pino e Veddasca
45.6524037,9.05,IT*GCE*EDCEC1TCUQUV1,Rovello Porro
45.554576,8.640452,IT*ENX*E19XP22T3KK4AS00059*2,Bellinzago Novarese
45.72018,8.61315,IT*BEC*EE002600*1,Castelletto sopra Ticino
45.760083,8.875639,IT*ENX*E18XP22T5HK4U000037*1,Castiglione Olona
45.760083,8.875639,IT*ENX*E18XP22T5HK4U000037*2,Castiglione Olona
46.101583,8.740508,IT*A2C*EI2230000411*1,Maccagno con Pino e Veddasca
45.578124,8.806176,IT*ENX*E18XP22T5LB4U000128*1,Magnago
45.837034,8.841564,IT*ENX*E18XM32T7CB4W000007*3,Induno Olona
45.708208,8.884761,IT*ENX*E24BZ4966A*1,Lonate Ceppino
46.101583,8.740508,IT*A2C*EI2230000411*2,Maccagno con Pino e Veddasca
45.714426,8.915243,IT*ENX*E23BZ6068A*1,Tradate
45.627369,9.032205,IT*BEC*EE000359*2,Saronno
45.549482,8.992707,IT*BEC*EH002077*1,Nerviano
45.628363,9.026716,IT*BEC*EE000532*2,Saronno
45.59075,8.899909,IT*BEC*EH000085*2,Legnano
45.550087,8.989439,IT*ENX*E24BZ0946A*1,Nerviano
45.579751,9.08111,IT*BEC*EE001462*1,Garbagnate Milanese
45.566572,8.987408,IT*BEC*EH001678*3,Nerviano
45.815351,8.835168,IT*ENX*E19XP22T3KK4AH00444*1,Varese
45.762382,8.939173,IT*BEC*EE005091*1,Castelnuovo Bozzente
45.714426,8.915243,IT*ENX*E23BZ6068A*2,Tradate
45.762382,8.939173,IT*BEC*EE005091*2,Castelnuovo Bozzente
45.801617,8.835124,IT*BEC*EE005495*1,Varese
45.615626,9.080659,IT*BEC*EE002155*1,Solaro
45.757916,8.86662,IT*ENX*E18XP22T3BB4U000413*1,Castiglione Olona
46.017831,8.785989,IT*BEC*EH000318*3,Dumenza
45.707199,8.62895,IT*BEC*EE000357*2,Castelletto sopra Ticino
45.570164,8.639467,IT*ENX*E19XP22T3KK1AT00038*1,Bellinzago Novarese
45.7225,8.6966,IT*ENX*E21XP22T5HK4AM00097*1,Vergiate
