latitude,longitude,serial number,COMUNE
45.590072,9.049222,IT*GES*EX53,Caronno Pertusella
45.590072,9.049222,IT*GES*EXBK,Caronno Pertusella
45.590072,9.049222,IT*GES*EX2A,Caronno Pertusella
45.590072,9.049222,IT*GES*EX6Z,Caronno Pertusella
45.591525,9.048308,IT*GES*EXDA,Caronno Pertusella
45.740599,8.830536,IT*ENX*E19XP22T3KK4AZ00555*1,Caronno Varesino
45.736322,8.831265,IT*ENX*E19XP22T3KK4AZ00861*2,Caronno Varesino
45.736322,8.831265,IT*ENX*E19XP22T3KK4AZ00861*1,Caronno Varesino
45.740599,8.830536,IT*ENX*E19XP22T3KK4AZ00555*2,Caronno Varesino
45.731885,8.83163,IT*PWY*EC0039*01*02,Caronno Varesino
45.731885,8.83163,IT*PWY*EC0039*01*01,Caronno Varesino
45.75414,8.729774,IT*BEC*EE004494*1,Casale Litta
45.75414,8.729774,IT*BEC*EE004494*2,Casale Litta
45.826906,8.776135,IT*ENX*E19XP22T3KK4AZ00962*2,Casciago
45.825399,8.763514,IT*ENX*E20XP22T3KK4AZ00082*1,Casciago
45.825399,8.763514,IT*ENX*E20XP22T3KK4AZ00082*2,Casciago
45.826906,8.776135,IT*ENX*E19XP22T3KK4AZ00962*1,Casciago
45.670786,8.739467,IT*ENX*E19XP22T3KK4AD00127*1,Casorate Sempione
45.670786,8.739467,IT*ENX*E19XP22T3KK4AD00127*2,Casorate Sempione
45.67161,8.745465,IT*ENX*E21XP22T3KKJAK00225*2,Casorate Sempione
45.67161,8.745465,IT*ENX*E21XP22T3KKJAK00225*1,Casorate Sempione
45.66446,8.748922,IT*REVETACR2244822S0305*1,Casorate Sempione
45.68649,8.821169,IT*ENX*E20XM32T7KK3AR00013*2,Cassano Magnago
45.68649,8.821169,IT*ENX*E20XM32T7KK3AR00013*3,Cassano Magnago
45.68649,8.821169,IT*ENX*E20XM32T7KK3AR00013*1,Cassano Magnago
45.651261,8.844827,IT*DUF*E000156*1,Cassano Magnago
45.651261,8.844827,IT*DUF*E000156*2,Cassano Magnago
45.669528,8.818472,IT*DUF*E000155*2,Cassano Magnago
45.669528,8.818472,IT*DUF*E000155*1,Cassano Magnago
45.610869,8.902841,IT*ENX*E18XP22T3KK1AG00025*1,Castellanza
45.608716,8.896729,IT*ENX*E21XP22T3KKJAK00066*2,Castellanza
45.615251,8.880374,IT*BEC*EH000359*2,Castellanza
45.613326,8.908999,IT*ENX*E18XP22T3KK4AH00300*2,Castellanza
45.610191,8.906986,IT*BEC*EE000268*1,Castellanza
45.612308,8.896139,IT*ENX*E18XP22T3BB5U000413*1,Castellanza
45.610869,8.902841,IT*ENX*E18XP22T3KK1AG00025*2,Castellanza
45.615251,8.880374,IT*BEC*EH000359*3,Castellanza
45.612308,8.896139,IT*ENX*E18XP22T3BB5U000413*2,Castellanza
